dining_hall,service,date,meal_type,name,serving_size,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,potassium,total_carbohydrate,dietary_fiber,sugars,protein,scraped_at
Everybody Eats,ISR Everybody Eats Menu,,,Brown Sugar,Tablespoon (12g),45,0g,NA,NA,NA,0mg,NA,12g,NA,12g,0g,2025-11-04T01:21:37.539985
Everybody Eats,ISR Everybody Eats Menu,,,Oatmeal,Cup (251g),150,2.5g,0g,NA,0mg,10mg,142mg,27g,4g,<,5g,2025-11-04T01:21:37.539978
Everybody Eats,ISR Everybody Eats Menu,,,Roasted Red Pepper & Gouda Soup,Cup (240g),300,22g,9g,0.5g,40mg,900mg,NA,18g,4g,13g,7g,2025-11-04T01:21:37.539959
Everybody Eats,ISR Everybody Eats Menu,,,Seedless Raisins,1/4 Cup (40g),110,0g,0g,0g,0mg,0mg,NA,29g,1g,21g,1g,2025-11-04T01:21:37.539975
Everybody Eats,ISR Everybody Eats Menu,,,White Rice,1/2 Cup (79g),100,0g,0g,NA,0mg,0mg,0mg,22g,0g,NA,4g,2025-11-04T01:21:37.539982
Everybody Eats,Ike Everybody Eats Menu,,,Oatmeal,Cup (251g),150,2.5g,0g,NA,0mg,10mg,142mg,27g,4g,<,5g,2025-11-04T01:20:38.854561
Ikenberry Dining Center (Ike),Baked Expectations,,,Assorted Danish,Danish (43g),130,6g,3.5g,0g,25mg,125mg,NA,15g,<,5g,3g,2025-11-04T00:36:55.360645
Ikenberry Dining Center (Ike),Baked Expectations,,,Blueberry Muffin,Muffin (128g),420,22g,4g,0g,70mg,400mg,NA,52g,2g,26g,6g,2025-11-04T00:36:55.360545
Ikenberry Dining Center (Ike),Baked Expectations,,,Cake Donuts,1 Donut (45g),190,11g,2g,NA,10mg,300mg,23mg,21g,<,7g,2g,2025-11-04T00:36:55.360637
Ikenberry Dining Center (Ike),Baked Expectations,,,Double Dutch Muffin,Muffin (128g),460,26g,6g,NA,70mg,460mg,NA,54g,2g,32g,6g,2025-11-04T00:36:55.360625
Ikenberry Dining Center (Ike),Build Your Own,,,100% Wheat Bagel,Each (112g),290,2.5g,1g,0g,0mg,410mg,NA,60g,8g,8g,13g,2025-11-04T00:48:58.829848
Ikenberry Dining Center (Ike),Build Your Own,,,100% Whole Wheat Bread,Slice (30g),80,2g,0g,NA,0mg,200mg,113mg,15g,2g,NA,2g,2025-11-04T00:48:58.829919
Ikenberry Dining Center (Ike),Build Your Own,,,9-Grain Bread,Slice (28g),80,1g,0g,NA,0mg,150mg,63mg,14g,2g,3g,3g,2025-11-04T00:48:58.829890
Ikenberry Dining Center (Ike),Build Your Own,,,American Cheese Slice,Slice (19g),70,5g,3.5g,0g,20mg,270mg,NA,1g,0g,1g,3g,2025-11-04T00:48:58.830148
Ikenberry Dining Center (Ike),Build Your Own,,,Blueberry Bagel,6ct (680g),2000,14g,7g,0g,0mg,2790mg,NA,394g,14g,64g,64g,2025-11-04T00:48:58.829862
Ikenberry Dining Center (Ike),Build Your Own,,,Bread Fzn Sliced Wheat Gordon Choice,Slice (28g),70,0.5g,0g,0g,0mg,140mg,NA,14g,1g,2g,3g,2025-11-04T00:48:58.829946
Ikenberry Dining Center (Ike),Build Your Own,,,Cheddar Cheese,Slice (21g),80,7g,4g,0g,20mg,135mg,NA,0g,0g,0g,5g,2025-11-04T00:48:58.830187
Ikenberry Dining Center (Ike),Build Your Own,,,Cinnamon Raisin Bagel,6ct (680g),2000,11g,3.5g,0g,0mg,2790mg,NA,401g,21g,79g,64g,2025-11-04T00:48:58.829876
Ikenberry Dining Center (Ike),Build Your Own,,,Cream Cheese,"1 oz (about 1"" cube) (28g)",100,9g,6g,0g,30mg,110mg,NA,<,0g,<,2g,2025-11-04T00:48:58.830209
Ikenberry Dining Center (Ike),Build Your Own,,,Deli Chicken Breast,1 Ounce Slice (28g),30,0.5g,0g,0g,15mg,270mg,NA,0g,0g,0g,6g,2025-11-04T00:48:58.830066
Ikenberry Dining Center (Ike),Build Your Own,,,Dill Pickle Slices,Tablespoon (14g),0,0g,0g,0g,0mg,130mg,NA,0g,0g,0g,0g,2025-11-04T00:48:58.830096
Ikenberry Dining Center (Ike),Build Your Own,,,English Muffins,Each (74g),170,1.5g,0g,0g,0mg,380mg,NA,31g,2g,1g,6g,2025-11-04T00:48:58.829833
Ikenberry Dining Center (Ike),Build Your Own,,,Green Leaf Lettuce,Leaf (7g),0,0g,0g,0g,0mg,0mg,14mg,0g,0g,0g,0g,2025-11-04T00:48:58.830082
Ikenberry Dining Center (Ike),Build Your Own,,,Halal Roast Beef,1oz Slice (28g),30,1g,0g,NA,15mg,250mg,65mg,0g,NA,NA,4g,2025-11-04T00:48:58.830012
Ikenberry Dining Center (Ike),Build Your Own,,,Halal Turkey Breast,1 Ounce Slice (28g),25,0.5g,0g,NA,10mg,280mg,NA,1g,0g,0g,4g,2025-11-04T00:48:58.830039
Ikenberry Dining Center (Ike),Build Your Own,,,Hard Salami,Ounce (28g),110,10g,4g,0g,35mg,450mg,NA,0g,0g,0g,5g,2025-11-04T00:48:58.830053
Ikenberry Dining Center (Ike),Build Your Own,,,Hummus,1/4 Cup (60g),100,5g,0.5g,0g,0mg,75mg,3mg,9g,2g,2g,3g,2025-11-04T00:48:58.829984
Ikenberry Dining Center (Ike),Build Your Own,,,Ketchup,Tablespoon (17g),20,0g,0g,0g,0mg,160mg,NA,5g,0g,4g,0g,2025-11-04T00:48:58.830250
Ikenberry Dining Center (Ike),Build Your Own,,,Mayonnaise,Tablespoon (14g),100,11g,1.5g,0g,5mg,75mg,NA,0g,0g,0g,0g,2025-11-04T00:48:58.830275
